Name,Type,%Vbur,Bite angle,P1–M (Å),P2–M (Å),Avg. P–M (Å),Metal center
KUXSAX,PC1P,0.4223001304509877,71.11970218595421,2.26601875543871,2.284024737169018,2.275021746303864,Ru
LEHHIP,PC1P,0.4451698192322028,72.30575472271896,2.338623954380013,2.336205898460151,2.337414926420082,Ru
LEXFUP,PC1P,0.4260564200521804,70.93676048569174,2.2822204100393115,2.27664204476681,2.2794312274030606,Ru
MAYSIO,PC1P,0.5595415579575103,75.59942453466037,2.255422133437553,2.2576875337388915,2.256554833588222,Pd
MAYTEL,PC1P,0.5408824077525158,74.25505306243257,2.2518996425240614,2.256023271156572,2.253961456840317,Rh
MAZTOZ,PC1P,0.5552902534476333,72.95423279142976,2.42025825068318,2.2869545251272494,2.3536063879052147,Pd
MEXWOB,PC1P,0.5054917536339918,73.77039240629014,2.498177535724792,2.324954623213108,2.41156607946895,Rh
MIXVEU,PC1P,0.4384958535221767,71.35920098437778,2.2839463653947747,2.2884024995616485,2.2861744324782114,Ru
MOXFAJ,PC1P,0.4913925642937011,72.49058494871434,2.3520682388060066,2.287735343084948,2.319901790945477,Rh
MUDCIZ,PC1P,0.5135459373835259,72.83819062869154,2.2844099894721173,2.3191131925803017,2.3017615910262093,Rh
MURMAN,PC1P,0.4665253447633246,71.55118033523188,2.2671969477749383,2.258897297355504,2.2630471225652213,Pd
NEWBIC,PC1P,0.4548779351472232,72.3980986145633,2.224108810287842,2.2346035442556698,2.229356177271756,Rh
NIMYUG,PC1P,0.429003214685054,72.4614252745934,2.2956177817746584,2.2647637845921142,2.2801907831833863,Ru
NINHUP,PC1P,0.4307794446515095,72.11972657792725,2.259074810624916,2.275237570013295,2.2671561903191053,Ru
NUXMEA,PC1P,0.5560007454342154,75.58186697647433,2.263346416260666,2.258216331532478,2.260781373896572,Pd
NUZYAJ,PC1P,0.4486931606410734,71.09760468203046,2.377737790421812,2.3309562415455174,2.354347015983665,Ru
NUZYIR,PC1P,0.4712308982482296,71.41373636106448,2.3856512737615283,2.38712148832019,2.386386381040859,Ru
OROZON,PC1P,0.4361489004845322,72.49595694261784,2.243107219907243,2.2685303612691623,2.2558187905882026,Ru
ORUBAH,PC1P,0.4454784755870294,73.10413127344799,2.240238603363492,2.2365527044986,2.238395653931046,Ru
PAWRIP,PC1P,0.4349200987700335,71.99890952320139,2.3234659455219044,2.2419513821668837,2.282708663844394,Ru
PEFPEY,PC1P,0.4783765840477078,72.64098761281876,2.287591746793994,2.294943136550446,2.29126744167222,Rh
PEFPIC,PC1P,0.4963019474468878,72.63473219944657,2.302639572316953,2.2856712362017424,2.294155404259348,Rh
